iter	Passed	Remaining
0	16	1628
1	25	1267
2	34	1106
3	42	1024
4	52	989
5	60	941
6	69	918
7	78	905
8	88	893
9	96	870
10	105	856
11	114	838
12	123	827
13	132	812
14	141	799
15	150	790
16	158	772
17	167	761
18	176	752
19	184	738
20	193	726
21	201	714
22	210	706
23	219	694
24	228	684
25	235	670
26	243	659
27	252	649
28	261	639
29	269	629
30	278	620
31	288	613
32	297	603
33	305	592
34	313	582
35	321	571
36	330	563
37	339	554
38	347	542
39	357	536
40	366	527
41	374	517
42	382	507
43	390	497
44	398	486
45	408	479
46	415	468
47	423	459
48	431	448
49	439	439
50	447	430
51	456	421
52	466	413
53	473	403
54	482	394
55	490	385
56	499	376
57	508	368
58	515	358
59	524	349
60	533	341
61	542	332
62	551	324
63	561	315
64	569	306
65	578	298
66	586	288
67	593	279
68	601	270
69	609	261
70	617	252
71	627	244
72	635	234
73	643	226
74	651	217
75	661	208
76	668	199
77	676	190
78	685	182
79	695	173
80	704	165
81	712	156
82	722	147
83	729	138
84	737	130
85	745	121
86	754	112
87	764	104
88	774	95
89	783	87
90	793	78
91	800	69
92	810	61
93	820	52
94	828	43
95	839	34
96	847	26
97	856	17
98	866	8
99	874	0
